"HGNC.symbol","MGI.symbol"
"MT-ND4","mt-Nd4"
"MT-CO1","mt-Co1"
"MT-ATP6","mt-Atp6"
"MT-ND5","mt-Nd5"
"MT-ND3","mt-Nd3"
"MT-ND2","mt-Nd2"
"MT-ND6","mt-Nd6"
"MT-ATP8","mt-Atp8"
"MT-CO2","mt-Co2"
"MT-CO3","mt-Co3"
"MT-ND4L","mt-Nd4l"
"MT-CYB","mt-Cytb"
"MT-ND1","mt-Nd1"
"SYCP3","Gm20817"
"SYCP3","Gm28490"
"SYCP3","Gm21094"
"SYCP3","Gm20838"
"SYCP3","Gm20888"
"SYCP3","Gm20869"
"SYCP3","Gm20870"
"SYCP3","Gm20855"
"SYCP3","Gm20843"
"SYCP3","Gm20896"
"SYCP3","Gm20903"
"SYCP3","Gm20835"
"SYCP3","Gm29110"
"SYCP3","Gm20905"
"SYCP3","Gm20814"
"SYCP3","Gm20850"
"SYCP3","Gm20897"
"SYCP3","Gm21173"
"SYCP3","Gm21865"
"SYCP3","Gm21650"
"SYCP3","Gm29564"
"SYCP3","Gm29276"
"SYCP3","Gm20916"
"SYCP3","Gm21760"
"SYCP3","Gm21739"
"SYCP3","Gm28897"
"SYCP3","Gm20911"
"SYCP3","Gm21317"
"SYCP3","Gm28827"
"SYCP3","Gm21256"
"SYCP3","Gm20792"
"SYCP3","Gm21095"
"SYCP3","Gm28553"
"SYCP3","Gm21409"
"SYCP3","Gm21209"
"SYCP3","Gm28870"
"SYCP3","Gm20820"
"SYCP3","Gm20883"
"SYCP3","Gm21117"
"SYCP3","Gm21477"
"SYCP3","Gm20906"
"SYCP3","Gm20920"
"SYCP3","Gm28102"
"SYCP3","Gm21294"
"SYCP3","Gm21258"
"SYCP3","Gm21996"
"SYCP3","Gm20837"
"SYCP3","Gm20929"
"SYCP3","Gm20931"
"SYCP3","Gm21858"
"SYCP3","Sly"
"SYCP3","Gm28961"
"SYCP3","Gm21861"
"SYCP3","Gm28891"
"SYCP3","1700040F15Rik"
"SYCP3","Gm21497"
"SYCP3","Gm21518"
"SYCP3","Gm21627"
"SYCP3","Gm20908"
"SYCP3","Gm20736"
"POPDC2","Popdc2"
"PLP2","Gm6169"
"TRGC2","Trgc1"
"TRGC2","Trgv3"
"TRGC2","Trgc3"
"TRGC2","Trgc2"
